PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"30359609","Working Memory 2.0","Miller EK, Lundqvist M, Bastos AM.","Neuron. 2018 Oct 24;100(2):463-475. doi: 10.1016/j.neuron.2018.09.023.","Miller EK","Neuron","2018","2018/10/26","PMC8112390","NIHMS1506986","10.1016/j.neuron.2018.09.023"
"25251486","The cognitive neuroscience of working memory","D'Esposito M, Postle BR.","Annu Rev Psychol. 2015 Jan 3;66:115-42. doi: 10.1146/annurev-psych-010814-015031. Epub 2014 Sep 19.","D'Esposito M","Annu Rev Psychol","2015","2014/09/25","PMC4374359","NIHMS672171","10.1146/annurev-psych-010814-015031"
"21961947","Working memory: theories, models, and controversies","Baddeley A.","Annu Rev Psychol. 2012;63:1-29. doi: 10.1146/annurev-psych-120710-100422. Epub 2011 Sep 27.","Baddeley A","Annu Rev Psychol","2012","2011/10/04","","","10.1146/annurev-psych-120710-100422"
"20178752","Working memory","Baddeley A.","Curr Biol. 2010 Feb 23;20(4):R136-40. doi: 10.1016/j.cub.2009.12.014.","Baddeley A","Curr Biol","2010","2010/02/25","","","10.1016/j.cub.2009.12.014"
"22612437","Is working memory training effective? A meta-analytic review","Melby-Lervåg M, Hulme C.","Dev Psychol. 2013 Feb;49(2):270-91. doi: 10.1037/a0028228. Epub 2012 May 21.","Melby-Lervåg M","Dev Psychol","2013","2012/05/23","","","10.1037/a0028228"
"27191213","Working Memory: A Selective Review","Kent PL.","Appl Neuropsychol Child. 2016 Jul-Sep;5(3):163-72. doi: 10.1080/21622965.2016.1167491.","Kent PL","Appl Neuropsychol Child","2016","2016/05/19","","","10.1080/21622965.2016.1167491"
"29635694","Working memory consolidation: insights from studies on attention and working memory","Ricker TJ, Nieuwenstein MR, Bayliss DM, Barrouillet P.","Ann N Y Acad Sci. 2018 Jul;1424(1):8-18. doi: 10.1111/nyas.13633. Epub 2018 Apr 10.","Ricker TJ","Ann N Y Acad Sci","2018","2018/04/11","","","10.1111/nyas.13633"
"31059662","Affective Working Memory: An Integrative Psychological Construct","Mikels JA, Reuter-Lorenz PA.","Perspect Psychol Sci. 2019 Jul;14(4):543-559. doi: 10.1177/1745691619837597. Epub 2019 May 6.","Mikels JA","Perspect Psychol Sci","2019","2019/05/07","PMC6606331","NIHMS1522539","10.1177/1745691619837597"
"29745430","Working memory dependence of spatial contextual cueing for visual search","Pollmann S.","Br J Psychol. 2019 May;110(2):372-380. doi: 10.1111/bjop.12311. Epub 2018 May 10.","Pollmann S","Br J Psychol","2019","2018/05/11","","","10.1111/bjop.12311"
"9759336","Working memory","Baddeley A.","C R Acad Sci III. 1998 Feb-Mar;321(2-3):167-73. doi: 10.1016/s0764-4469(97)89817-4.","Baddeley A","C R Acad Sci III","1998","1998/10/06","","","10.1016/s0764-4469(97)89817-4"
"35115910","Cognitive Networks (Cognits) Process and Maintain Working Memory","Fuster JM.","Front Neural Circuits. 2022 Jan 18;15:790691. doi: 10.3389/fncir.2021.790691. eCollection 2021.","Fuster JM","Front Neural Circuits","2022","2022/02/04","PMC8803648","","10.3389/fncir.2021.790691"
